Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Turkey,2014,Diabetes,Parasitic,0.16,8.15,6.0,61+,Other,26585.0,79.26,4.52,3.71,Surgery,2888.0,Yes,59.4,995.0,8.14,7853.0,0.73,56.99
Indonesia,2011,Zika,Autoimmune,0.69,4.86,2.21,0-18,Male,231834.0,63.94,4.31,0.78,Therapy,21857.0,Yes,68.01,4496.0,9.8,76397.0,0.57,59.58
Usa,2024,Hiv/Aids,Neurological,0.38,5.47,5.12,36-60,Other,900371.0,87.36,0.9,9.0,Therapy,11533.0,No,96.77,417.0,4.01,89594.0,0.67,43.4
South Africa,2021,Dengue,Bacterial,0.64,0.51,4.91,0-18,Female,718268.0,80.75,1.99,1.85,Surgery,27101.0,No,96.52,4919.0,4.38,65020.0,0.56,56.9
Saudi Arabia,2014,Ebola,Cardiovascular,0.79,12.78,7.43,36-60,Female,137967.0,51.97,3.79,1.31,Surgery,6349.0,Yes,98.94,2484.0,2.76,80051.0,0.42,54.14
Nigeria,2017,Leprosy,Chronic,0.2,4.15,1.87,61+,Male,61596.0,70.68,4.16,2.82,Surgery,21393.0,Yes,70.07,78.0,9.0,58382.0,0.54,70.66
Turkey,2022,Hypertension,Parasitic,0.14,6.09,1.86,19-35,Male,515663.0,97.39,4.58,7.27,Surgery,6128.0,No,79.65,87.0,8.38,86847.0,0.79,29.95
Uk,2022,Polio,Genetic,0.16,11.14,1.23,0-18,Female,121556.0,59.05,1.98,8.73,Surgery,47429.0,Yes,59.85,4820.0,0.93,83624.0,0.81,34.64
Brazil,2018,Alzheimer'S Disease,Neurological,0.75,2.01,3.59,19-35,Other,947353.0,57.02,4.85,9.15,Vaccination,40545.0,No,50.25,2600.0,0.86,85662.0,0.55,54.22
Indonesia,2010,Cholera,Metabolic,0.37,12.76,1.29,19-35,Other,195973.0,54.68,2.02,5.05,Therapy,1680.0,Yes,51.71,1230.0,3.18,29474.0,0.69,30.61
Saudi Arabia,2015,Parkinson'S Disease,Autoimmune,0.61,11.3,2.34,0-18,Female,794078.0,50.4,2.94,1.37,Vaccination,4452.0,Yes,82.82,2563.0,9.08,37455.0,0.43,74.47
Brazil,2011,Zika,Viral,0.67,14.67,2.46,0-18,Female,445981.0,77.13,1.3,7.59,Surgery,22390.0,Yes,75.19,3597.0,4.61,69771.0,0.7,26.33
Nigeria,2010,Covid-19,Respiratory,0.97,13.6,3.37,0-18,Female,448078.0,82.39,0.87,7.34,Vaccination,25558.0,No,52.48,3826.0,6.3,14472.0,0.44,21.06
India,2023,Diabetes,Parasitic,0.36,7.75,0.54,0-18,Female,453814.0,53.27,2.21,8.27,Vaccination,16893.0,No,74.85,3618.0,4.61,27646.0,0.62,44.24
Uk,2023,Hypertension,Bacterial,0.83,9.87,5.08,61+,Male,931552.0,95.98,2.71,0.6,Vaccination,14758.0,No,93.99,2677.0,3.71,60479.0,0.79,73.29
Uk,2016,Hypertension,Infectious,0.51,2.99,9.39,61+,Female,461293.0,62.18,1.53,5.1,Vaccination,45525.0,No,55.15,1633.0,2.01,50310.0,0.57,72.68
India,2019,Polio,Bacterial,0.9,12.84,6.02,19-35,Male,164529.0,59.32,2.8,8.8,Surgery,4302.0,No,71.06,982.0,7.73,27600.0,0.68,21.23
Mexico,2022,Diabetes,Viral,0.32,14.11,5.3,36-60,Other,653030.0,62.95,3.67,7.07,Vaccination,39945.0,No,80.31,3262.0,3.79,80284.0,0.69,64.18
Uk,2014,Asthma,Infectious,0.29,2.69,0.8,19-35,Male,490440.0,61.97,0.53,3.8,Medication,49558.0,No,68.46,4204.0,5.45,73475.0,0.59,54.71
Mexico,2023,Dengue,Infectious,0.48,11.81,0.57,61+,Female,585339.0,65.75,1.57,9.63,Medication,45797.0,No,98.5,2022.0,9.4,29122.0,0.68,23.64
Italy,2024,Hepatitis,Infectious,0.6,13.27,1.38,61+,Male,562982.0,83.12,4.85,1.06,Therapy,21292.0,No,70.93,3897.0,0.63,61081.0,0.84,82.9
Australia,2022,Leprosy,Respiratory,0.81,5.75,7.43,36-60,Male,819548.0,84.54,4.68,9.76,Medication,41734.0,Yes,71.34,4085.0,8.41,12511.0,0.62,52.07
Indonesia,2017,Cancer,Parasitic,0.71,7.25,6.43,61+,Female,224256.0,77.08,0.66,9.58,Surgery,20701.0,No,68.93,1991.0,6.97,16537.0,0.89,55.64
Brazil,2011,Hypertension,Infectious,0.55,4.13,7.66,61+,Male,150545.0,64.45,2.03,5.09,Medication,37990.0,Yes,91.74,1342.0,7.95,13218.0,0.85,22.94
China,2022,Leprosy,Genetic,0.19,13.63,7.35,19-35,Male,528194.0,65.37,3.15,5.27,Therapy,19862.0,No,94.45,4783.0,0.57,9771.0,0.8,26.78
China,2011,Tuberculosis,Neurological,0.97,11.75,4.35,61+,Other,647323.0,85.48,2.12,1.48,Medication,41870.0,No,54.18,1965.0,9.38,95897.0,0.63,51.66
Argentina,2024,Zika,Viral,0.51,0.41,1.33,61+,Female,550011.0,92.12,4.58,6.17,Therapy,25691.0,No,93.45,192.0,2.14,64017.0,0.53,48.92
Argentina,2019,Cholera,Chronic,0.38,5.07,0.81,0-18,Male,862650.0,95.43,4.37,2.11,Surgery,33039.0,No,58.99,3274.0,3.7,78343.0,0.79,27.57
Argentina,2013,Rabies,Autoimmune,0.3,3.97,4.25,36-60,Male,697812.0,89.27,0.83,6.72,Surgery,41231.0,No,58.41,1997.0,5.09,49981.0,0.78,48.5
Canada,2022,Dengue,Viral,0.65,6.97,0.57,0-18,Male,362946.0,78.8,4.78,2.15,Vaccination,25379.0,No,73.21,3791.0,5.84,51205.0,0.65,72.44
Canada,2018,Hepatitis,Infectious,0.99,10.08,1.91,19-35,Other,433943.0,69.14,1.15,6.44,Vaccination,16718.0,No,58.86,2894.0,4.84,78023.0,0.42,33.25
Australia,2017,Influenza,Neurological,0.83,5.45,2.89,0-18,Female,660639.0,50.71,0.61,3.49,Surgery,11143.0,No,54.57,1911.0,4.68,76191.0,0.43,57.45
Australia,2010,Leprosy,Bacterial,0.95,9.27,3.19,0-18,Female,168305.0,66.01,3.84,8.22,Medication,44730.0,No,68.19,2464.0,7.33,55066.0,0.48,52.41
Usa,2018,Rabies,Bacterial,0.74,14.67,2.09,0-18,Female,294986.0,82.4,1.99,2.68,Medication,29073.0,Yes,81.36,136.0,8.55,69189.0,0.49,86.88
Usa,2016,Hypertension,Infectious,0.95,14.61,5.54,0-18,Other,982034.0,97.37,2.91,8.41,Medication,46252.0,Yes,88.68,3308.0,6.3,29546.0,0.68,65.14
Japan,2018,Hypertension,Neurological,0.47,14.73,6.42,36-60,Other,783159.0,61.82,2.8,8.27,Medication,49599.0,No,80.85,1742.0,9.09,23202.0,0.48,26.48
Usa,2024,Cancer,Parasitic,0.69,14.54,7.8,36-60,Other,957737.0,68.12,3.22,8.48,Medication,33550.0,Yes,70.16,2062.0,3.76,47702.0,0.41,34.72
Australia,2011,Parkinson'S Disease,Viral,0.13,5.09,2.92,19-35,Male,860457.0,76.04,1.91,0.67,Medication,12062.0,No,63.48,3591.0,7.68,59516.0,0.83,48.73
Indonesia,2017,Cholera,Autoimmune,0.95,10.05,4.71,0-18,Other,800703.0,55.64,2.41,2.25,Therapy,43443.0,No,88.76,3701.0,8.19,12144.0,0.77,52.36
Italy,2022,Alzheimer'S Disease,Cardiovascular,0.25,9.17,9.15,0-18,Female,933960.0,76.16,1.94,9.13,Surgery,16340.0,Yes,55.31,2426.0,3.51,5500.0,0.41,76.72
Uk,2021,Cancer,Viral,0.64,11.19,2.69,0-18,Other,122324.0,65.75,1.64,9.32,Therapy,3704.0,No,89.56,74.0,5.98,96054.0,0.79,20.37
Canada,2011,Polio,Chronic,0.45,10.02,2.71,0-18,Other,158776.0,87.01,4.22,0.88,Surgery,35969.0,No,91.63,4771.0,6.01,14506.0,0.77,75.71
South Korea,2012,Dengue,Bacterial,0.85,2.2,9.03,36-60,Female,84541.0,70.61,2.63,6.84,Therapy,11655.0,Yes,92.73,3504.0,7.66,94014.0,0.46,75.38
Turkey,2023,Asthma,Chronic,0.58,13.42,1.29,0-18,Other,472583.0,69.6,2.49,9.48,Surgery,30074.0,No,53.01,2384.0,4.38,43816.0,0.88,34.23
Germany,2024,Cholera,Respiratory,0.17,7.67,3.33,0-18,Female,99726.0,82.07,3.75,9.56,Medication,878.0,No,63.11,320.0,8.0,11374.0,0.47,60.99
Germany,2023,Cholera,Respiratory,0.49,5.85,8.83,0-18,Female,52622.0,75.59,4.48,4.36,Medication,28348.0,No,56.18,1718.0,4.97,53434.0,0.78,56.4
Turkey,2013,Malaria,Viral,0.13,3.03,4.62,19-35,Female,149787.0,92.1,1.37,7.28,Medication,20118.0,No,62.25,3103.0,9.72,38936.0,0.48,37.65
France,2011,Leprosy,Genetic,0.77,1.69,3.58,61+,Female,666882.0,76.17,0.52,2.57,Surgery,37841.0,Yes,98.0,2126.0,3.52,55454.0,0.71,52.95
Saudi Arabia,2015,Parkinson'S Disease,Respiratory,0.11,14.2,8.6,36-60,Female,785751.0,50.24,3.22,5.73,Therapy,24092.0,No,64.93,3216.0,6.87,16318.0,0.54,52.28
Japan,2021,Zika,Neurological,0.65,4.19,5.09,19-35,Female,870381.0,77.73,2.25,8.18,Therapy,20959.0,No,88.18,1193.0,0.17,67379.0,0.58,27.96
Germany,2020,Hepatitis,Chronic,0.2,7.03,7.79,61+,Male,515396.0,91.47,3.48,2.93,Vaccination,33261.0,No,92.49,2896.0,3.25,45681.0,0.6,29.71
Brazil,2011,Influenza,Respiratory,0.1,12.86,5.99,36-60,Male,995615.0,55.31,3.24,6.51,Surgery,36742.0,No,51.0,1810.0,8.61,95499.0,0.51,69.05
Usa,2021,Ebola,Neurological,0.94,5.48,2.16,0-18,Male,755184.0,93.37,4.62,1.36,Vaccination,28623.0,No,63.37,4541.0,2.24,49739.0,0.43,29.1
Australia,2013,Hiv/Aids,Parasitic,0.66,6.52,4.73,61+,Male,412727.0,90.53,2.53,6.52,Therapy,41562.0,Yes,89.05,951.0,0.62,47140.0,0.42,35.41
Germany,2024,Alzheimer'S Disease,Parasitic,0.11,10.39,4.91,36-60,Male,142015.0,58.26,1.41,2.21,Medication,9352.0,Yes,97.07,2418.0,0.01,28769.0,0.66,89.18
Brazil,2023,Influenza,Autoimmune,0.66,8.1,4.28,36-60,Other,895225.0,77.15,2.87,4.35,Medication,30017.0,No,62.89,2471.0,6.71,55344.0,0.86,40.21
Nigeria,2022,Leprosy,Bacterial,0.39,6.52,3.68,19-35,Male,208096.0,96.37,1.14,9.93,Vaccination,12787.0,No,78.59,1050.0,2.26,89923.0,0.58,67.93
Canada,2018,Measles,Chronic,0.93,3.43,0.93,61+,Male,279049.0,53.39,2.04,4.22,Surgery,4639.0,No,86.41,3843.0,8.24,35825.0,0.59,49.07
Usa,2020,Covid-19,Chronic,0.75,1.61,0.18,36-60,Female,255470.0,81.03,1.02,4.52,Medication,20153.0,No,71.62,1149.0,5.67,47092.0,0.46,84.39
Nigeria,2024,Alzheimer'S Disease,Respiratory,0.15,5.71,4.35,19-35,Male,482784.0,58.98,3.05,5.66,Surgery,11128.0,Yes,86.6,4958.0,6.73,15835.0,0.62,33.1
Brazil,2015,Zika,Infectious,0.13,7.62,3.62,36-60,Other,864064.0,53.15,2.6,9.05,Vaccination,8612.0,No,74.25,4900.0,8.63,28758.0,0.59,34.05
Uk,2017,Asthma,Parasitic,0.37,6.14,5.91,61+,Other,198297.0,89.02,0.84,6.01,Medication,20439.0,No,80.68,308.0,3.12,9665.0,0.45,27.66
South Africa,2014,Diabetes,Infectious,0.84,2.32,2.63,36-60,Other,696943.0,88.29,3.74,5.29,Vaccination,39757.0,No,79.65,1719.0,2.14,9764.0,0.89,52.29
Mexico,2024,Hiv/Aids,Chronic,0.66,12.19,8.35,36-60,Other,474250.0,80.07,1.46,4.02,Medication,21346.0,No,54.75,2092.0,9.89,70275.0,0.75,77.47
Russia,2017,Covid-19,Infectious,0.29,4.28,3.59,36-60,Female,885466.0,75.33,1.94,1.27,Therapy,33015.0,Yes,70.28,1128.0,4.48,83727.0,0.66,73.94
Saudi Arabia,2015,Polio,Viral,0.61,2.76,7.24,0-18,Male,864259.0,96.77,2.73,1.61,Vaccination,34415.0,Yes,57.56,2825.0,6.23,74605.0,0.7,79.72
France,2020,Tuberculosis,Bacterial,0.76,8.86,7.4,36-60,Male,912733.0,85.64,4.33,3.11,Vaccination,25732.0,No,66.05,2645.0,3.64,70236.0,0.7,89.94
Argentina,2023,Influenza,Cardiovascular,0.36,11.15,0.12,36-60,Other,488453.0,98.06,4.28,5.89,Vaccination,33077.0,No,93.88,3715.0,4.74,69414.0,0.77,84.79
Argentina,2021,Influenza,Autoimmune,0.41,13.65,6.35,0-18,Female,26670.0,73.47,3.82,8.42,Therapy,11093.0,No,59.21,4917.0,3.03,71646.0,0.42,68.57
Germany,2021,Cancer,Infectious,0.46,14.06,9.66,36-60,Male,627597.0,58.06,4.99,8.44,Medication,11309.0,No,68.44,845.0,4.4,49291.0,0.43,50.5
Usa,2011,Cancer,Genetic,0.62,3.19,1.54,61+,Other,159797.0,72.4,4.84,5.8,Therapy,1479.0,Yes,65.68,2512.0,4.43,6209.0,0.58,76.01
Argentina,2020,Hepatitis,Infectious,0.83,10.65,8.67,19-35,Other,958575.0,87.2,1.12,5.53,Medication,31316.0,Yes,79.67,2483.0,0.71,80218.0,0.55,86.78
Nigeria,2021,Parkinson'S Disease,Cardiovascular,0.45,12.78,4.18,0-18,Male,798828.0,63.91,1.91,1.72,Surgery,43663.0,No,80.23,3859.0,8.08,14025.0,0.47,59.97
India,2024,Ebola,Genetic,0.31,0.54,8.0,0-18,Male,757668.0,96.62,2.58,0.6,Vaccination,16626.0,Yes,71.79,755.0,5.48,97795.0,0.69,55.28
Mexico,2020,Influenza,Neurological,0.46,8.2,9.97,36-60,Other,173244.0,59.15,1.89,5.2,Vaccination,26619.0,No,63.98,2778.0,7.57,36990.0,0.54,74.52
Australia,2016,Tuberculosis,Neurological,0.23,6.53,6.8,36-60,Other,298263.0,62.24,1.48,1.48,Vaccination,12542.0,No,72.68,3184.0,1.06,56218.0,0.71,64.2
Brazil,2022,Asthma,Viral,0.78,6.13,2.23,0-18,Male,338964.0,81.43,4.69,8.44,Therapy,18511.0,Yes,50.37,2751.0,4.23,37621.0,0.56,38.17
Brazil,2010,Covid-19,Parasitic,0.9,12.71,2.97,36-60,Female,102463.0,55.58,4.82,1.4,Surgery,13528.0,No,93.61,3346.0,6.44,88587.0,0.56,53.15
Mexico,2022,Asthma,Infectious,0.43,11.11,0.67,36-60,Male,686632.0,77.54,1.2,5.91,Vaccination,39311.0,Yes,73.18,2474.0,9.04,61484.0,0.51,29.03
China,2010,Asthma,Respiratory,0.31,14.12,0.71,0-18,Other,110859.0,54.34,4.3,6.5,Therapy,44651.0,No,59.03,3094.0,4.87,44100.0,0.74,62.53
Italy,2016,Influenza,Infectious,0.79,2.36,5.09,19-35,Other,502855.0,65.34,4.04,1.97,Surgery,10026.0,No,88.54,3569.0,8.82,99823.0,0.45,78.64
South Africa,2015,Dengue,Neurological,0.4,12.62,0.24,19-35,Male,381141.0,56.34,4.03,0.79,Medication,3549.0,Yes,81.64,3000.0,0.27,25915.0,0.7,85.59
Italy,2017,Hypertension,Viral,0.3,12.59,4.01,36-60,Female,366432.0,54.2,0.79,8.38,Therapy,33784.0,Yes,51.89,4796.0,8.8,21202.0,0.55,85.99
South Korea,2017,Hiv/Aids,Bacterial,0.5,1.78,6.94,61+,Male,733730.0,99.35,4.24,2.1,Medication,26605.0,No,67.52,289.0,2.06,4754.0,0.51,25.63
Brazil,2017,Ebola,Cardiovascular,0.37,1.96,8.63,36-60,Male,684107.0,66.55,0.57,2.38,Vaccination,44861.0,Yes,81.03,1827.0,5.36,74655.0,0.46,28.1
Italy,2023,Leprosy,Parasitic,0.64,5.57,3.29,0-18,Female,625375.0,83.41,3.1,5.47,Surgery,17434.0,No,93.77,4840.0,3.18,98438.0,0.45,41.05
Turkey,2020,Hepatitis,Chronic,0.85,8.25,1.52,61+,Male,359499.0,98.21,3.1,4.38,Medication,13636.0,Yes,58.38,4441.0,8.89,27268.0,0.5,63.34
Argentina,2016,Dengue,Metabolic,0.38,5.11,9.64,61+,Male,929491.0,75.53,2.82,1.65,Medication,2239.0,No,97.69,4092.0,6.77,64625.0,0.83,49.88
Japan,2016,Alzheimer'S Disease,Cardiovascular,0.73,9.98,5.79,36-60,Other,151473.0,73.1,1.03,4.63,Surgery,14939.0,No,57.1,4672.0,5.39,30337.0,0.83,88.12
India,2021,Influenza,Chronic,0.6,8.99,8.61,0-18,Female,413629.0,55.09,3.74,8.56,Surgery,47243.0,Yes,93.84,1173.0,9.4,29212.0,0.79,65.81
Brazil,2019,Hiv/Aids,Parasitic,0.64,6.64,0.46,61+,Other,950198.0,98.33,1.3,7.58,Medication,46523.0,Yes,88.32,816.0,3.81,12048.0,0.84,45.24
Japan,2014,Alzheimer'S Disease,Genetic,0.31,10.93,8.25,19-35,Male,810382.0,94.0,4.57,8.85,Surgery,4009.0,Yes,95.88,4085.0,9.7,10612.0,0.85,27.39
Germany,2024,Dengue,Autoimmune,0.91,14.46,9.65,61+,Other,226891.0,70.04,3.85,9.39,Surgery,29130.0,Yes,82.87,2269.0,9.45,44476.0,0.53,55.26
France,2024,Hypertension,Autoimmune,0.59,10.29,1.73,61+,Female,147175.0,69.47,3.88,4.02,Surgery,44709.0,No,52.8,862.0,2.79,65488.0,0.42,53.63
China,2014,Leprosy,Cardiovascular,0.13,12.19,4.16,36-60,Other,604141.0,98.4,3.44,9.19,Medication,20789.0,No,98.64,338.0,6.28,47954.0,0.81,47.87
South Africa,2020,Leprosy,Infectious,0.6,10.67,4.7,19-35,Female,448841.0,50.92,1.94,7.74,Surgery,26239.0,No,80.71,1788.0,4.42,82675.0,0.87,67.13
Saudi Arabia,2014,Influenza,Parasitic,0.98,7.15,7.84,0-18,Other,807799.0,61.93,3.16,1.97,Surgery,33877.0,No,83.71,3757.0,6.98,25478.0,0.8,65.86
Canada,2023,Measles,Respiratory,0.81,1.82,8.51,61+,Other,200219.0,89.0,2.17,0.6,Medication,29649.0,Yes,73.91,2700.0,1.39,21307.0,0.79,66.08
Brazil,2024,Polio,Genetic,0.95,5.59,3.22,36-60,Male,296667.0,60.45,1.93,0.68,Vaccination,26496.0,No,51.79,2620.0,2.85,88627.0,0.57,78.03
Japan,2014,Zika,Cardiovascular,0.27,3.63,9.2,19-35,Male,674974.0,87.67,3.95,9.62,Therapy,11009.0,No,63.57,2388.0,0.27,38263.0,0.48,69.42
South Africa,2022,Tuberculosis,Bacterial,0.1,0.69,9.4,36-60,Male,185252.0,86.81,1.3,3.34,Therapy,49431.0,No,52.04,3539.0,2.61,35607.0,0.42,31.44
Argentina,2010,Cholera,Metabolic,0.86,6.36,7.05,61+,Other,956107.0,94.91,1.83,4.38,Medication,20396.0,Yes,71.94,1169.0,0.63,78168.0,0.79,42.16
South Korea,2020,Asthma,Genetic,0.8,11.75,9.9,19-35,Other,408656.0,93.33,1.83,4.0,Vaccination,18514.0,Yes,94.37,1068.0,5.17,7708.0,0.75,55.26
Russia,2018,Leprosy,Bacterial,0.49,1.12,1.07,0-18,Female,366019.0,59.84,1.86,5.67,Vaccination,39239.0,No,77.89,3088.0,0.47,86340.0,0.76,60.91
Germany,2023,Covid-19,Infectious,0.24,4.08,4.26,36-60,Female,616621.0,61.98,0.59,3.97,Therapy,43261.0,Yes,61.69,1919.0,1.19,5444.0,0.51,66.74
Usa,2013,Parkinson'S Disease,Viral,0.34,1.28,7.34,36-60,Female,618663.0,83.16,2.3,4.76,Medication,9031.0,Yes,96.67,1126.0,4.84,40332.0,0.65,48.07
Brazil,2022,Hypertension,Infectious,0.12,3.12,9.97,36-60,Other,865091.0,59.15,2.25,5.23,Therapy,37525.0,No,76.11,1839.0,2.35,14561.0,0.68,50.8
Italy,2020,Polio,Viral,0.12,2.69,6.55,61+,Other,92386.0,52.89,3.4,1.0,Vaccination,17963.0,No,56.58,3178.0,2.71,97820.0,0.56,42.11
China,2024,Hepatitis,Viral,0.72,7.38,7.57,36-60,Female,382495.0,73.53,0.99,8.65,Therapy,12537.0,Yes,57.82,432.0,1.77,6617.0,0.7,57.45
Australia,2012,Cancer,Metabolic,0.35,6.23,4.99,61+,Male,527488.0,51.18,1.96,4.84,Surgery,49462.0,Yes,79.74,472.0,7.72,71151.0,0.46,64.77
India,2023,Cancer,Genetic,0.14,0.66,8.02,19-35,Male,842163.0,82.83,1.01,10.0,Medication,16908.0,No,57.43,2638.0,0.55,27727.0,0.54,78.05
Mexico,2016,Parkinson'S Disease,Genetic,0.19,1.98,2.31,19-35,Female,328109.0,79.65,2.59,2.69,Vaccination,45102.0,No,74.08,1557.0,9.96,10529.0,0.52,83.96
Brazil,2021,Parkinson'S Disease,Cardiovascular,0.82,7.01,0.95,61+,Male,365392.0,90.87,2.69,6.95,Therapy,48605.0,No,61.42,4424.0,5.14,31141.0,0.72,24.84
Turkey,2024,Zika,Cardiovascular,0.65,12.05,0.81,36-60,Other,670036.0,64.39,0.52,3.27,Therapy,21279.0,Yes,50.21,4747.0,9.62,64416.0,0.61,74.34
China,2020,Measles,Genetic,0.48,7.25,6.1,36-60,Male,561243.0,53.24,2.88,5.97,Therapy,47642.0,No,83.06,4131.0,0.68,63683.0,0.77,54.29
Mexico,2022,Hiv/Aids,Bacterial,0.38,14.06,9.16,36-60,Other,762206.0,76.81,3.71,1.26,Medication,48074.0,Yes,56.34,1564.0,7.05,26114.0,0.51,66.72
China,2010,Polio,Parasitic,0.46,6.95,7.12,0-18,Female,862924.0,86.53,2.57,1.71,Vaccination,2020.0,Yes,66.0,897.0,0.5,89271.0,0.8,67.63
Nigeria,2013,Influenza,Metabolic,0.2,9.1,5.31,19-35,Male,737420.0,80.86,4.26,1.15,Surgery,23182.0,Yes,96.9,3873.0,4.57,96495.0,0.62,69.01
Russia,2013,Leprosy,Neurological,0.74,3.5,3.04,19-35,Male,794128.0,77.64,1.47,2.02,Surgery,18042.0,Yes,79.81,4719.0,4.83,1550.0,0.52,26.26
Saudi Arabia,2019,Alzheimer'S Disease,Parasitic,0.27,2.91,3.77,61+,Male,688568.0,84.65,0.91,7.48,Therapy,32984.0,Yes,70.43,2034.0,9.92,44508.0,0.67,50.16
Turkey,2018,Tuberculosis,Autoimmune,0.28,6.6,5.21,0-18,Male,219377.0,59.64,2.8,7.76,Therapy,37260.0,Yes,68.06,2247.0,1.52,81394.0,0.83,43.93
Uk,2019,Cancer,Neurological,0.96,4.83,7.28,36-60,Female,379893.0,92.21,3.76,2.35,Therapy,40459.0,Yes,53.52,3576.0,4.09,16428.0,0.86,20.66
Indonesia,2018,Malaria,Metabolic,0.36,9.07,3.12,0-18,Female,82751.0,83.02,1.19,2.91,Surgery,28162.0,No,69.68,4176.0,3.71,57398.0,0.67,24.02
Brazil,2013,Cancer,Autoimmune,0.28,10.58,6.26,36-60,Other,217188.0,72.98,2.1,9.77,Vaccination,33491.0,No,69.37,2306.0,8.33,73493.0,0.4,82.43
South Africa,2013,Cancer,Respiratory,0.64,12.15,0.94,36-60,Other,668388.0,53.82,2.81,1.2,Vaccination,38526.0,Yes,86.56,1823.0,1.65,90247.0,0.81,81.36
Russia,2018,Leprosy,Neurological,0.89,8.81,6.94,0-18,Other,886405.0,84.7,4.18,6.32,Surgery,20232.0,No,81.5,3283.0,3.11,48216.0,0.75,68.13
Turkey,2014,Malaria,Chronic,0.27,4.03,7.3,36-60,Male,173368.0,90.13,3.59,2.75,Vaccination,20298.0,Yes,61.77,1913.0,6.85,38402.0,0.77,44.73
France,2012,Polio,Parasitic,1.0,1.49,7.82,61+,Male,533451.0,83.09,3.4,8.33,Vaccination,33880.0,No,87.88,1463.0,5.41,27897.0,0.77,82.06
Mexico,2019,Hypertension,Autoimmune,0.57,5.38,0.44,36-60,Other,577033.0,86.34,2.8,8.79,Vaccination,19563.0,Yes,83.47,1430.0,4.93,52764.0,0.55,31.09
Turkey,2021,Malaria,Metabolic,0.69,5.66,1.11,19-35,Other,266797.0,76.31,3.76,2.24,Therapy,7291.0,Yes,59.05,3669.0,1.33,99349.0,0.7,59.31
Japan,2019,Rabies,Bacterial,0.29,1.51,6.0,36-60,Male,915410.0,89.17,4.83,3.31,Medication,35457.0,Yes,52.47,289.0,0.74,94938.0,0.66,31.5
India,2011,Ebola,Neurological,0.74,6.14,0.59,36-60,Male,298183.0,92.2,3.32,3.94,Medication,4619.0,Yes,50.14,1876.0,7.39,31612.0,0.5,78.99
Australia,2021,Rabies,Bacterial,0.81,6.73,1.12,19-35,Male,590772.0,71.07,0.55,6.87,Therapy,47320.0,Yes,67.82,526.0,7.8,7169.0,0.69,66.06
Argentina,2010,Ebola,Neurological,0.73,13.59,0.53,19-35,Other,201725.0,67.07,1.0,3.27,Medication,44042.0,No,95.05,4152.0,5.33,55686.0,0.63,75.38
South Africa,2017,Leprosy,Metabolic,0.91,4.19,9.22,36-60,Male,709503.0,92.14,2.53,9.66,Medication,49943.0,No,86.17,2521.0,0.98,55704.0,0.77,22.24
India,2021,Leprosy,Neurological,0.29,0.32,1.38,36-60,Male,968363.0,57.48,0.8,7.95,Therapy,25095.0,No,92.19,4474.0,7.38,89396.0,0.43,39.55
Saudi Arabia,2017,Cancer,Infectious,0.18,3.2,5.03,0-18,Male,608815.0,71.21,2.97,8.63,Medication,12084.0,No,90.77,919.0,5.09,43878.0,0.7,67.04
Turkey,2019,Hiv/Aids,Parasitic,0.98,11.0,8.37,0-18,Male,923778.0,76.5,4.3,9.04,Therapy,46374.0,No,55.41,3021.0,6.72,91885.0,0.57,74.97
France,2018,Leprosy,Viral,0.31,8.45,9.96,0-18,Female,130492.0,82.96,3.07,3.82,Vaccination,27202.0,No,64.08,1420.0,3.49,23563.0,0.82,44.09
South Africa,2020,Ebola,Viral,0.73,9.87,7.88,61+,Male,329966.0,52.95,0.51,9.73,Vaccination,23084.0,No,61.06,1607.0,0.7,44819.0,0.7,64.7
South Africa,2023,Parkinson'S Disease,Respiratory,0.47,2.98,6.42,36-60,Male,787383.0,62.41,3.84,1.05,Vaccination,39833.0,Yes,85.76,3239.0,6.75,26292.0,0.71,39.99
Japan,2015,Hiv/Aids,Autoimmune,0.46,0.62,4.66,0-18,Male,592905.0,86.22,2.82,5.46,Vaccination,9866.0,No,66.55,4571.0,7.68,80009.0,0.75,53.54
China,2014,Ebola,Neurological,0.43,14.18,2.31,61+,Female,731047.0,76.39,4.18,0.56,Medication,5780.0,Yes,56.76,113.0,2.93,66974.0,0.82,60.69
China,2015,Tuberculosis,Neurological,0.54,14.13,2.6,19-35,Male,808157.0,68.69,3.34,1.3,Medication,44870.0,Yes,55.68,4322.0,9.44,83198.0,0.77,50.96
Nigeria,2012,Dengue,Genetic,0.94,2.41,3.14,19-35,Other,855895.0,80.51,3.43,4.92,Therapy,9294.0,No,59.19,4126.0,8.2,40302.0,0.78,86.65
Indonesia,2014,Leprosy,Cardiovascular,0.89,2.59,8.02,61+,Male,924392.0,79.82,2.1,7.62,Therapy,41445.0,Yes,70.24,2583.0,3.88,6317.0,0.57,20.86
Turkey,2014,Malaria,Neurological,0.8,9.69,4.26,0-18,Male,763658.0,76.66,4.74,4.31,Therapy,2178.0,No,86.05,1110.0,9.8,35015.0,0.66,34.78
